class_of_price,host_response_rate,host_is_superhost,is_center,neighbourhood_cleansed,number_of_reviews,review_scores_rating,long_term_stays_allowed,washer,dishes_and_silverware,kitchen,cooking_basics,hair_dryer,tv,hangers,essentials,hot_water,bed_linens,heating,iron,dedicated_workspace,shampoo,wifi,air_conditioning,elevator,microwave,stove,coffee_maker,dishwasher,oven,refrigerator
medium,always_responds,False,True,isola,no_reviews,good_rating,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,centrale,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
expensive,always_responds,False,True,xxii_marzo,no_reviews,top_rating,True,True,False,True,False,True,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
medium,always_responds,False,False,umbria,few_reviews,top_rating,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True
medium,always_responds,False,True,washington,few_reviews,low_rating,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
medium,always_responds,True,True,sarpi,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True
expensive,never_responds,False,True,tortona,some_reviews,top_rating,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,usually_responds,False,True,loreto,lot_of_reviews,good_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True
affordable,always_responds,False,True,xxii_marzo,lot_of_reviews,low_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
medium,usually_responds,False,False,magenta_vittore,no_reviews,good_rating,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
medium,always_responds,False,True,brera,lot_of_reviews,low_rating,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,True,True,duomo,lot_of_reviews,low_rating,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,True
medium,always_responds,False,True,navigli,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,True,False,True,False,True
medium,always_responds,True,False,villapizzone,lot_of_reviews,low_rating,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True
medium,always_responds,False,True,pagano,some_reviews,good_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
expensive,always_responds,False,True,sarpi,few_reviews,top_rating,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,navigli,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True
medium,always_responds,False,False,dergano,no_reviews,good_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
expensive,usually_responds,False,True,duomo,some_reviews,low_rating,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,ticinese,no_reviews,top_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
affordable,always_responds,False,True,navigli,lot_of_reviews,low_rating,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False
affordable,always_responds,False,False,citta_studi,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True
medium,always_responds,True,True,navigli,lot_of_reviews,low_rating,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True
medium,always_responds,False,True,loreto,some_reviews,low_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
medium,always_responds,False,True,tortona,no_reviews,good_rating,True,True,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,True,centrale,lot_of_reviews,low_rating,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True
medium,always_responds,True,True,tortona,lot_of_reviews,nice_rating,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
economy,usually_responds,False,False,quarto_cagnino,lot_of_reviews,low_rating,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True
medium,always_responds,False,True,navigli,few_reviews,top_rating,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,False,magenta_vittore,lot_of_reviews,low_rating,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True
medium,always_responds,False,True,navigli,lot_of_reviews,nice_rating,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False
medium,always_responds,True,True,porta_romana,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True
medium,always_responds,False,True,navigli,some_reviews,top_rating,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,sarpi,lot_of_reviews,low_rating,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False
medium,always_responds,True,True,isola,lot_of_reviews,nice_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True
medium,always_responds,False,False,umbria,no_reviews,low_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False
medium,usually_responds,False,True,brera,some_reviews,nice_rating,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
medium,always_responds,False,True,buenos_aires,lot_of_reviews,nice_rating,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False
medium,usually_responds,False,True,sarpi,some_reviews,nice_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
medium,usually_responds,False,False,niguarda_granda,few_reviews,top_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
medium,always_responds,False,False,ripamonti,some_reviews,low_rating,True,True,False,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False
medium,never_responds,False,True,washington,no_reviews,good_rating,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False
medium,always_responds,True,True,ticinese,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
medium,always_responds,True,True,ticinese,lot_of_reviews,low_rating,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True
medium,always_responds,False,True,buenos_aires,some_reviews,good_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False
medium,always_responds,True,False,de_angeli_rosa,some_reviews,top_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True
medium,always_responds,False,True,navigli,no_reviews,good_rating,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
medium,usually_responds,False,True,tortona,some_reviews,top_rating,True,True,False,True,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,xxii_marzo,no_reviews,top_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,xxii_marzo,no_reviews,top_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,False,bande_nere,lot_of_reviews,top_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
medium,always_responds,False,True,navigli,lot_of_reviews,low_rating,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,loreto,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True
expensive,always_responds,False,True,guastalla,lot_of_reviews,low_rating,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True
medium,always_responds,False,True,porta_romana,no_reviews,good_rating,True,True,False,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,xxii_marzo,some_reviews,low_rating,False,True,False,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
medium,always_responds,True,True,sarpi,lot_of_reviews,nice_rating,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True
medium,always_responds,False,False,stadera,no_reviews,top_rating,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
medium,always_responds,False,False,giambellino,few_reviews,top_rating,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
medium,always_responds,False,True,ticinese,some_reviews,low_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,True,sarpi,some_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,False,True
medium,always_responds,False,True,porta_romana,some_reviews,top_rating,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,tortona,some_reviews,low_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
medium,always_responds,False,False,dergano,few_reviews,low_rating,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,tortona,some_reviews,nice_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,washington,lot_of_reviews,low_rating,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True
medium,always_responds,False,True,ex_om,some_reviews,low_rating,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True
medium,never_responds,False,True,duomo,some_reviews,nice_rating,False,True,False,True,False,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False
medium,usually_responds,False,True,buenos_aires,some_reviews,low_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
medium,often_responds,False,False,tibaldi,lot_of_reviews,low_rating,True,True,False,True,True,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False
expensive,never_responds,False,False,de_angeli_rosa,some_reviews,top_rating,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False
expensive,always_responds,False,True,buenos_aires,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medium,always_responds,False,False,affori,some_reviews,nice_rating,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True
medium,always_responds,True,True,ticinese,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False
medium,never_responds,False,False,de_angeli_rosa,no_reviews,top_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False
medium,always_responds,False,False,s_cristoforo,some_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,True
expensive,always_responds,False,True,buenos_aires,some_reviews,low_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
medium,never_responds,False,True,ticinese,no_reviews,good_rating,True,True,False,True,False,True,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False
medium,always_responds,False,False,s_cristoforo,no_reviews,good_rating,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
medium,always_responds,False,False,tibaldi,no_reviews,top_rating,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
expensive,usually_responds,False,True,buenos_aires,some_reviews,top_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,brera,lot_of_reviews,low_rating,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,False,vigentina,some_reviews,top_rating,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,duomo,lot_of_reviews,low_rating,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True
medium,always_responds,True,True,xxii_marzo,some_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
medium,always_responds,False,False,vigentina,lot_of_reviews,nice_rating,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False
medium,always_responds,False,True,brera,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medium,usually_responds,False,True,duomo,no_reviews,good_rating,True,True,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False
medium,always_responds,False,False,stadera,no_reviews,good_rating,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
expensive,always_responds,False,True,navigli,some_reviews,nice_rating,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,buenos_aires,no_reviews,top_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,usually_responds,False,False,de_angeli_rosa,lot_of_reviews,low_rating,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,True
expensive,always_responds,False,True,porta_romana,few_reviews,top_rating,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medium,always_responds,False,True,brera,some_reviews,top_rating,True,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False
medium,always_responds,True,True,isola,lot_of_reviews,nice_rating,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
medium,always_responds,False,True,loreto,some_reviews,low_rating,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,centrale,lot_of_reviews,low_rating,False,False,False,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True
medium,always_responds,False,True,xxii_marzo,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True
affordable,always_responds,False,True,tortona,no_reviews,top_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,porta_romana,some_reviews,low_rating,False,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False
medium,always_responds,False,False,bovisa,some_reviews,top_rating,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False
medium,always_responds,False,False,dergano,some_reviews,top_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True
medium,always_responds,False,True,buenos_aires,lot_of_reviews,nice_rating,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,False,magenta_vittore,some_reviews,low_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,False,viale_monza,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,False,True,True
medium,usually_responds,True,True,guastalla,lot_of_reviews,top_rating,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True
medium,always_responds,False,False,padova,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True
medium,always_responds,False,False,giambellino,no_reviews,good_rating,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
medium,always_responds,False,False,giambellino,some_reviews,low_rating,True,True,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,navigli,some_reviews,low_rating,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False
affordable,always_responds,True,True,ex_om,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True
medium,always_responds,False,True,ticinese,few_reviews,low_rating,False,True,False,True,False,True,True,True,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
medium,usually_responds,False,True,loreto,some_reviews,good_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True
medium,always_responds,False,True,ticinese,some_reviews,low_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,False,de_angeli_rosa,lot_of_reviews,low_rating,True,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,False,corsica,some_reviews,good_rating,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True
expensive,always_responds,True,True,guastalla,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medium,always_responds,False,True,tortona,some_reviews,good_rating,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
medium,usually_responds,False,True,washington,some_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,porta_romana,no_reviews,top_rating,False,True,False,True,False,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
medium,usually_responds,False,True,isola,some_reviews,low_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
expensive,usually_responds,False,True,sarpi,some_reviews,low_rating,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,True,sarpi,some_reviews,nice_rating,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
medium,always_responds,False,True,navigli,no_reviews,good_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
expensive,usually_responds,False,True,ticinese,some_reviews,top_rating,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True
medium,always_responds,False,False,padova,some_reviews,low_rating,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,ticinese,no_reviews,top_rating,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,True,True
medium,usually_responds,False,False,giambellino,some_reviews,top_rating,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,True
economy,always_responds,False,True,brera,lot_of_reviews,low_rating,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False
affordable,always_responds,False,True,brera,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True
medium,always_responds,False,True,washington,some_reviews,low_rating,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False
medium,always_responds,False,True,ticinese,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True
medium,always_responds,False,False,stadera,lot_of_reviews,good_rating,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
medium,always_responds,False,True,buenos_aires,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
expensive,always_responds,False,True,isola,no_reviews,good_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
medium,always_responds,False,True,tortona,some_reviews,low_rating,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,buenos_aires,lot_of_reviews,low_rating,False,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,usually_responds,False,True,sarpi,lot_of_reviews,low_rating,True,False,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
top_level,always_responds,False,False,padova,no_reviews,good_rating,True,True,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,porta_romana,lot_of_reviews,low_rating,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medium,always_responds,False,True,loreto,some_reviews,top_rating,True,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False
expensive,always_responds,False,True,navigli,some_reviews,top_rating,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True
medium,always_responds,False,False,padova,some_reviews,top_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
medium,never_responds,False,False,bovisa,no_reviews,good_rating,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
affordable,usually_responds,False,False,padova,some_reviews,low_rating,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,duomo,some_reviews,low_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,xxii_marzo,some_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True
medium,always_responds,False,True,guastalla,no_reviews,good_rating,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,buenos_aires,some_reviews,low_rating,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,loreto,some_reviews,low_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
affordable,always_responds,False,True,scalo_romana,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,True,True
medium,always_responds,False,True,isola,some_reviews,top_rating,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True
medium,always_responds,False,True,tortona,lot_of_reviews,nice_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False
medium,never_responds,False,True,isola,some_reviews,low_rating,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True
medium,never_responds,False,True,maciachini,no_reviews,good_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
medium,always_responds,False,True,garibaldi_repubblica,lot_of_reviews,low_rating,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True
medium,always_responds,False,True,navigli,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True
medium,always_responds,False,True,guastalla,some_reviews,low_rating,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True
medium,usually_responds,False,True,washington,lot_of_reviews,nice_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
economy,always_responds,True,True,xxii_marzo,some_reviews,nice_rating,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True
medium,always_responds,False,True,ex_om,no_reviews,low_rating,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True
medium,always_responds,False,True,ghisolfa,some_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,True
medium,always_responds,False,True,ticinese,lot_of_reviews,low_rating,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,False,magenta_vittore,no_reviews,good_rating,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,loreto,some_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True
economy,always_responds,False,True,buenos_aires,lot_of_reviews,low_rating,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,True
affordable,always_responds,True,False,giambellino,lot_of_reviews,nice_rating,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True
affordable,always_responds,False,False,ronchetto_sul_naviglio,no_reviews,good_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,True,True
medium,always_responds,True,True,guastalla,lot_of_reviews,nice_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True
expensive,always_responds,False,True,tortona,some_reviews,nice_rating,True,True,False,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,True,buenos_aires,some_reviews,nice_rating,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
medium,always_responds,False,True,tortona,some_reviews,low_rating,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,False,niguarda_granda,some_reviews,low_rating,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
medium,always_responds,False,True,xxii_marzo,no_reviews,good_rating,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,brera,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
medium,always_responds,False,True,porta_romana,no_reviews,good_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False
affordable,always_responds,False,False,baggio,no_reviews,top_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False
